Name,Platform,Year_of_Release,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Critic_Score,Critic_Count,User_Score,User_Count,Developer
Grand Theft Auto: Liberty City Stories,PSP,2005,Action,Take-Two Interactive,290,281,24,173,769,88,65,7.6,451,Rockstar Leeds
Call of Duty: Advanced Warfare,PS4,2014,Shooter,Activision,281,348,14,123,766,83,39,5.7,1443,Sledgehammer Games
The Legend of Zelda: Ocarina of Time,N64,1998,Action,Nintendo,410,189,145,16,760,,,,,
FIFA 17,PS4,2016,Sports,Electronic Arts,66,575,8,111,759,85,41,5,398,"EA Sports, EA Vancouver"
Crash Bandicoot 2: Cortex Strikes Back,PS,1997,Platform,Sony Computer Entertainment,378,217,131,31,758,,,,,
Super Smash Bros. for Wii U and 3DS,3DS,2014,Fighting,Nintendo,327,137,243,48,755,,,,,
Super Mario Galaxy 2,Wii,2010,Platform,Nintendo,356,235,98,62,751,97,87,9.1,1854,Nintendo EAD Tokyo
Super Mario Bros. 2,NES,1988,Platform,Nintendo,539,118,70,19,746,,,,,
Call of Duty: Black Ops 3,XOne,2015,Shooter,Activision,459,211,1,68,739,,,,,
Call of Duty: World at War,X360,2008,Shooter,Activision,481,188,0,69,738,84,84,7.6,580,Treyarch
Battlefield 3,X360,2011,Shooter,Electronic Arts,446,211,6,69,732,84,57,7.4,2142,EA DICE
Need for Speed Underground,PS2,2003,Racing,Electronic Arts,327,283,8,102,720,85,33,8.6,171,EA Black Box
Just Dance,Wii,2009,Misc,Ubisoft,348,299,0,73,720,49,21,8,110,Ubisoft Paris
Battlefield 3,PS3,2011,Shooter,Electronic Arts,285,289,35,108,717,85,38,7.5,1761,EA DICE
Fallout 4,PS4,2015,Role-Playing,Bethesda Softworks,253,327,24,113,716,87,58,6.5,4228,Bethesda Game Studios
Tekken 3,PS,1998,Fighting,Sony Computer Entertainment,327,222,140,29,716,96,15,9.1,367,Namco
The Legend of Zelda: Twilight Princess,Wii,2006,Action,Nintendo,374,214,60,68,715,95,73,9,1658,Nintendo
Pokemon Sun/Moon,3DS,2016,Role-Playing,Nintendo,298,145,226,45,714,,,,,
Crash Bandicoot 3: Warped,PS,1998,Platform,Sony Computer Entertainment,368,175,142,28,713,91,12,8.9,432,Naughty Dog
Mario Kart 8,WiiU,2014,Racing,Nintendo,315,215,128,51,709,88,82,9.1,1599,Nintendo
Super Smash Bros. Melee,GC,2001,Fighting,Nintendo,441,104,139,22,707,92,38,9.1,568,HAL Labs
Mario Kart: Double Dash!!,GC,2003,Racing,Nintendo,412,177,87,19,695,,,,,
Need for Speed Underground 2,PS2,2004,Racing,Electronic Arts,271,302,8,109,690,82,39,8.6,132,EA Canada
Medal of Honor: Frontline,PS2,2002,Shooter,Electronic Arts,293,275,17,99,683,88,29,8.5,135,EA LA
Crash Bandicoot,PS,1996,Platform,Sony Computer Entertainment,323,235,94,30,682,,,,,
Just Dance 4,Wii,2012,Misc,Ubisoft,405,216,0,55,676,74,10,7.3,28,Ubisoft
Gears of War 2,X360,2008,Shooter,Microsoft Game Studios,415,190,6,64,675,93,90,7.7,2739,Epic Games
Uncharted 3: Drake's Deception,PS3,2011,Action,Sony Computer Entertainment,277,275,19,103,674,92,97,8.3,3712,Naughty Dog
Zumba Fitness,Wii,2010,Sports,505 Games,345,259,0,66,671,,,tbd,,"Pipeworks Software, Inc."
Call of Duty 4: Modern Warfare,PS3,2007,Shooter,Activision,311,226,28,103,668,94,44,8.4,993,Infinity Ward
Uncharted 2: Among Thieves,PS3,2009,Action,Sony Computer Entertainment,327,220,21,98,666,96,105,8.8,5187,Naughty Dog
FIFA 12,PS3,2011,Sports,Electronic Arts,84,430,11,139,665,,,,,
Big Brain Academy,DS,2005,Misc,Nintendo,166,275,160,62,662,74,45,7.4,27,Nintendo
The Legend of Zelda,NES,1986,Action,Nintendo,374,93,169,14,651,,,,,
Red Dead Redemption,PS3,2010,Action,Take-Two Interactive,279,253,17,99,649,95,73,8.8,2456,Rockstar San Diego
FIFA 14,PS3,2013,Sports,Electronic Arts,78,424,7,137,647,86,37,4.3,576,EA Canada
Assassin's Creed III,PS3,2012,Action,Ubisoft,264,252,16,112,645,85,41,6.9,1307,Ubisoft
Donkey Kong Country Returns,Wii,2010,Platform,Nintendo,317,179,103,46,644,87,77,8.6,368,Retro Studios
Halo: Combat Evolved,XB,2001,Shooter,Microsoft Game Studios,498,130,8,7,643,97,68,8.6,1283,Bungie Software
The Elder Scrolls V: Skyrim,PS3,2011,Role-Playing,Bethesda Softworks,255,260,25,100,641,92,16,6.4,2527,Bethesda Game Studios
Pokémon Emerald Version,GBA,2004,Role-Playing,Nintendo,257,158,206,21,641,76,28,9,222,Game Freak
Kingdom Hearts,PS2,2002,Role-Playing,Sony Computer Entertainment,364,120,149,7,640,85,46,8.8,597,SquareSoft
Pokémon Crystal Version,GB,2000,Role-Playing,Nintendo,255,156,129,99,639,,,,,
Halo 3: ODST,X360,2009,Shooter,Microsoft Game Studios,434,134,6,61,634,83,94,7.1,1163,"Bungie Software, Bungie"
Red Dead Redemption,X360,2010,Action,Take-Two Interactive,370,195,9,58,632,95,96,9,2316,Rockstar San Diego
Super Mario Sunshine,GC,2002,Platform,Nintendo,401,126,87,17,631,92,61,8.6,439,Nintendo
Street Fighter II: The World Warrior,SNES,1992,Fighting,Capcom,247,83,287,12,630,,,,,
World of Warcraft,PC,2004,Role-Playing,Activision,8,621,0,0,629,93,57,7.3,2182,Blizzard Entertainment
Driver,PS,1999,Action,GT Interactive,311,280,2,33,627,87,22,8.1,78,Reflections Interactive
Gears of War 3,X360,2011,Shooter,Microsoft Game Studios,405,159,7,50,621,91,96,7.8,1504,Epic Games
Kinect Sports,X360,2010,Sports,Microsoft Game Studios,392,173,3,51,619,73,51,7.4,95,Rare Ltd.
Gears of War,X360,2006,Shooter,Microsoft Game Studios,354,188,7,60,609,94,88,8.3,2295,Epic Games
FIFA 15,PS4,2014,Sports,Electronic Arts,80,433,5,90,608,82,47,5.7,988,EA Sports
Metal Gear Solid 2: Sons of Liberty,PS2,2001,Action,Konami Digital Entertainment,245,201,87,72,605,96,42,8.7,1026,KCEJ
Sonic the Hedgehog 2,GEN,1992,Platform,Sega,447,120,16,19,603,,,,,
Metal Gear Solid,PS,1998,Action,Konami Digital Entertainment,318,183,78,24,603,94,20,9.4,918,KCEJ
Metal Gear Solid 4: Guns of the Patriots,PS3,2008,Action,Konami Digital Entertainment,263,171,83,82,599,94,82,8.7,3558,Kojima Productions
Final Fantasy XII,PS2,2006,Role-Playing,Square Enix,188,0,233,174,595,92,64,7.6,972,Square Enix
The Last of Us,PS3,2013,Action,Sony Computer Entertainment Europe,241,218,28,99,587,95,98,9.1,8003,Naughty Dog
LittleBigPlanet,PS3,2008,Platform,Sony Computer Entertainment,280,198,17,87,582,95,85,6.8,5311,"SCE/WWS, Media Molecule"
Resident Evil 2,PS,1998,Action,Virgin Interactive,188,147,202,45,582,89,13,9.2,364,Capcom
Dragon Quest IX: Sentinels of the Starry Skies,DS,2009,Role-Playing,Nintendo,63,67,435,15,578,87,65,8.8,197,Level 5
Tekken 2,PS,1996,Fighting,Sony Computer Entertainment,226,189,136,23,574,89,8,8.9,102,Namco
Destiny,PS4,2014,Shooter,Activision,249,207,16,92,564,76,95,6.1,5380,"Bungie Software, Bungie"
LEGO Star Wars: The Complete Saga,Wii,2007,Action,LucasArts,357,155,0,51,564,80,17,8.9,62,Traveller's Tales
Cooking Mama,DS,2006,Simulation,505 Games,307,191,7,57,563,67,35,7.2,21,Taito Corporation
Tetris,NES,1988,Puzzle,Nintendo,297,69,181,11,558,,,,,
Super Smash Bros.,N64,1999,Fighting,Nintendo,295,60,197,4,555,,,,,
Assassin's Creed II,PS3,2009,Action,Ubisoft,254,193,21,86,555,91,70,8.6,1202,Ubisoft Montreal
Assassin's Creed,X360,2007,Adventure,Ubisoft,328,164,7,56,554,81,77,7.7,1074,Ubisoft Montreal
Forza Motorsport 3,X360,2009,Racing,Microsoft Game Studios,299,190,10,50,549,92,90,8,516,Turn 10
Super Mario Advance,GBA,2001,Platform,Nintendo,314,124,91,20,549,84,19,7.8,41,Nintendo
Monster Hunter Freedom Unite,PSP,2008,Role-Playing,Capcom,47,55,413,34,548,81,48,8.7,124,Capcom
Batman: Arkham City,PS3,2011,Action,Warner Bros. Interactive Entertainment,271,185,11,81,548,96,42,8.6,2162,Rocksteady Studios
Grand Theft Auto V,XOne,2014,Action,Take-Two Interactive,281,219,0,47,548,97,14,7.9,764,Rockstar North
Mario Kart: Super Circuit,GBA,2001,Racing,Nintendo,262,164,99,23,547,93,24,8.3,108,Intelligent Systems
Super Mario World,GBA,2001,Platform,Nintendo,321,111,95,20,546,,,,,
Pokemon Stadium,N64,1999,Strategy,Nintendo,318,124,94,9,545,,,,,
Crash Bandicoot: The Wrath of Cortex,PS2,2001,Platform,Universal Interactive,207,229,24,82,542,66,22,7.1,156,Traveller's Tales
Call of Duty: World at War,PS3,2008,Shooter,Activision,273,183,0,83,539,85,45,7.6,409,Treyarch
Uncharted 4: A Thief's End,PS4,2016,Shooter,Sony Computer Entertainment,185,250,19,85,538,93,113,7.9,7064,Naughty Dog
Dr. Mario,GB,1989,Puzzle,Nintendo,218,96,200,20,534,,,,,
Final Fantasy XIII,PS3,2009,Role-Playing,Square Enix,174,121,187,51,533,83,83,7.3,2483,Square Enix
Pokemon Pinball,GB,1999,Misc,Nintendo,302,112,101,16,531,,,,,
Final Fantasy IX,PS,2000,Role-Playing,SquareSoft,162,77,278,14,530,94,22,8.9,779,SquareSoft
Assassin's Creed III,X360,2012,Action,Ubisoft,313,169,3,44,529,84,61,6.7,1196,Ubisoft
Final Fantasy X-2,PS2,2003,Role-Playing,Electronic Arts,192,108,211,17,529,85,45,6.6,400,SquareSoft
Donkey Kong 64,N64,1999,Platform,Nintendo,333,79,109,6,527,,,,,
Call of Duty: Advanced Warfare,XOne,2014,Shooter,Activision,322,155,1,48,527,81,53,5.4,898,Sledgehammer Games
Minecraft,PS3,2014,Misc,Sony Computer Entertainment,203,237,0,87,526,,,,,
Assassin's Creed II,X360,2009,Action,Ubisoft,311,155,8,51,526,90,82,8.8,1305,Ubisoft Montreal
Tomb Raider II,PS,1997,Action,Eidos Interactive,230,246,20,28,524,85,13,,,Core Design Ltd.
Madden NFL 2004,PS2,N/A,Sports,Electronic Arts,426,26,1,71,523,94,29,8.5,140,EA Tiburon
Tomodachi Life,3DS,2013,Simulation,Nintendo,97,211,190,24,523,,,,,
New Super Mario Bros. U,WiiU,2012,Platform,Nintendo,230,134,127,32,522,84,70,8.1,733,Nintendo
Dragon Quest VIII: Journey of the Cursed King,PS2,2004,Role-Playing,Square Enix,65,75,361,20,521,89,63,8.8,245,Level 5
Super Mario Bros. 3,GBA,2003,Platform,Nintendo,293,125,83,20,520,,,,,
Professor Layton and the Curious Village,DS,2007,Puzzle,Nintendo,121,243,103,52,519,85,72,8.6,147,Level 5
Super Mario Land 3: Wario Land,GB,1994,Platform,Nintendo,249,98,157,15,519,,,,,
FIFA Soccer 13,X360,2012,Action,Electronic Arts,109,347,3,57,516,90,48,6.1,403,Electronic Arts
Donkey Kong Country 2: Diddy's Kong Quest,SNES,1995,Platform,Nintendo,210,74,220,11,515,,,,,
Diablo III,PC,2012,Role-Playing,Activision,244,216,0,54,514,88,86,4,9629,Blizzard Entertainment
Medal of Honor: Rising Sun,PS2,2003,Shooter,Electronic Arts,198,223,13,80,513,68,30,7.6,100,EA LA
Kirby's Dream Land,GB,1992,Platform,Nintendo,271,61,170,11,513,,,,,
Microsoft Flight Simulator,PC,1996,Simulation,Microsoft Game Studios,322,169,0,20,512,,,,,
Guitar Hero II,PS2,2006,Misc,RedOctane,381,63,0,68,512,92,69,8.5,112,Harmonix Music Systems
Fable III,X360,2010,Role-Playing,Microsoft Game Studios,359,108,5,38,510,80,88,6.5,604,Lionhead Studios
Mario & Sonic at the Olympic Games,DS,2008,Sports,Sega,163,245,44,57,509,,,,,
Resident Evil 5,PS3,2009,Action,Capcom,196,141,108,64,509,84,76,7.5,667,Capcom
The Legend of Zelda: Phantom Hourglass,DS,2007,Action,Nintendo,185,180,95,48,508,90,57,8,416,Nintendo
Super Mario Bros.,GB,1999,Platform,Nintendo,340,130,15,22,507,,,,,
FIFA Soccer 11,PS3,2010,Sports,Electronic Arts,61,328,6,112,507,89,51,8,233,EA Sports
Resident Evil,PS,1996,Action,Virgin Interactive,205,116,111,73,505,91,8,9,266,Capcom
Grand Theft Auto: Vice City Stories,PSP,2006,Action,Take-Two Interactive,170,199,16,118,503,86,50,8,150,Rockstar Leeds
Tony Hawk's Pro Skater,PS,1999,Sports,Activision,342,138,2,20,502,92,18,9.2,69,Neversoft Entertainment
Warzone 2100,PS,1999,Strategy,Eidos Interactive,279,189,0,33,501,,,,,
Spyro the Dragon,PS,1998,Platform,Sony Computer Entertainment,336,136,7,21,500,,,,,
Guitar Hero III: Legends of Rock,PS2,2007,Misc,Activision,349,1,1,148,498,82,24,8.2,46,"Neversoft Entertainment, BudCat"
Link's Crossbow Training,Wii,2007,Shooter,Nintendo,305,117,29,46,498,68,34,7.1,47,Nintendo
Pokemon Mystery Dungeon: Explorers of Time/Explorers of Darkness,DS,2007,Role-Playing,Nintendo,183,119,154,37,493,,,,,
Fallout 3,X360,2008,Role-Playing,Bethesda Softworks,340,99,9,45,493,93,84,8.5,1655,Bethesda Game Studios
Uncharted: Drake's Fortune,PS3,2007,Action,Sony Computer Entertainment,231,172,12,77,492,88,66,8.1,2306,"Naughty Dog, SCE/WWS"
Madden NFL 06,PS2,2005,Sports,Electronic Arts,398,26,1,66,491,88,29,8,121,EA Sports
Diddy Kong Racing,N64,1997,Racing,Nintendo,291,99,89,10,488,,,,,
Monster Hunter Freedom 3,PSP,2010,Role-Playing,Capcom,0,0,487,0,487,,,,,
Super Smash Bros. for Wii U and 3DS,WiiU,2014,Fighting,Nintendo,260,108,81,38,487,,,,,
Dr. Mario,NES,1990,Puzzle,Nintendo,262,60,152,10,485,,,,,
StarCraft II: Wings of Liberty,PC,2010,Strategy,Activision,257,168,0,58,484,93,82,8.2,3052,Blizzard Entertainment
Assassin's Creed,PS3,2007,Adventure,Ubisoft,191,200,9,82,482,81,40,7.3,769,Ubisoft Montreal
God of War III,PS3,2010,Action,Sony Computer Entertainment,274,133,12,61,480,92,101,8.7,2633,SCE Santa Monica
Crash Team Racing,PS,1999,Racing,Sony Computer Entertainment,257,157,44,21,479,88,20,9,233,Naughty Dog
LEGO Star Wars: The Complete Saga,DS,2007,Action,LucasArts,283,148,0,45,476,80,9,5.4,46,TT Fusion
Driver 2,PS,2000,Action,Atari,236,210,2,25,473,62,14,7.7,92,Reflections Interactive
Batman: Arkham City,X360,2011,Action,Warner Bros. Interactive Entertainment,299,127,4,42,473,94,87,8.7,1472,Rocksteady Studios
The Last of Us,PS4,2014,Action,Sony Computer Entertainment,188,200,7,77,471,,,,,
The Simpsons: Hit & Run,PS2,2003,Racing,Vivendi Games,173,219,0,79,470,,,,,
Tony Hawk's Pro Skater 2,PS,2000,Sports,Activision,305,141,2,20,468,98,19,7.7,299,Neversoft Entertainment
The Lord of the Rings: The Two Towers,PS2,2002,Action,Electronic Arts,194,195,8,70,467,82,32,8.2,78,Stormfront Studios
Tomb Raider,PS,1996,Action,Eidos Interactive,229,197,13,24,463,91,13,8.6,147,Core Design Ltd.
Animal Crossing: City Folk,Wii,2008,Simulation,Nintendo,182,112,132,36,462,73,50,7.6,119,Nintendo
Uncharted: The Nathan Drake Collection,PS4,2015,Action,Sony Computer Entertainment,207,171,8,76,462,86,78,8.1,1264,Bluepoint Games
The Legend of Zelda: A Link to the Past,SNES,1991,Action,Nintendo,242,91,115,13,461,,,,,
The Legend of Zelda: The Wind Waker,GC,2002,Action,Nintendo,260,99,89,13,460,96,80,8.9,968,Nintendo
Guitar Hero III: Legends of Rock,Wii,2007,Misc,Activision,304,111,0,43,460,86,36,8.4,87,Vicarious Visions
Luigi's Mansion: Dark Moon,3DS,2013,Action,Nintendo,180,139,111,29,459,86,74,8.4,458,Next Level Games
Forza Motorsport 4,X360,2011,Racing,Microsoft Game Studios,208,197,6,46,457,91,83,8.2,617,Turn 10
Mario & Sonic at the Olympic Winter Games,Wii,2009,Sports,Sega,187,196,22,48,453,,,,,
Madden NFL 2005,PS2,2004,Sports,Electronic Arts,418,26,1,8,453,91,30,7.9,78,EA Tiburon
Guitar Hero III: Legends of Rock,X360,2007,Misc,Activision,319,91,1,42,453,85,69,7.9,165,Neversoft Entertainment
Pitfall!,2600,1981,Platform,Activision,421,24,0,5,450,,,,,
Madden NFL 07,PS2,2006,Sports,Electronic Arts,363,24,1,61,449,84,29,8.2,39,EA Sports
Halo 5: Guardians,XOne,2015,Shooter,Microsoft Game Studios,278,127,3,41,448,84,101,6.4,2438,343 Industries
Spider-Man: The Movie,PS2,2002,Action,Activision,271,151,3,23,448,76,25,7.9,41,Treyarch
Dragon Quest VII: Warriors of Eden,PS,2000,Role-Playing,Enix Corporation,20,14,410,2,447,,,,,
Call of Duty: Infinite Warfare,PS4,2016,Shooter,Activision,161,200,15,71,446,77,82,3.4,1129,Infinity Ward
God of War,PS2,2005,Action,Sony Computer Entertainment,271,129,2,43,445,94,75,8.9,997,SCE Santa Monica
Splatoon,WiiU,2015,Shooter,Nintendo,154,118,146,26,443,81,88,8.5,1184,Nintendo
Nintendo Land,WiiU,2012,Misc,Nintendo,252,111,46,33,442,77,61,7.9,471,Nintendo
Tony Hawk's Pro Skater 3,PS2,2001,Sports,Activision,266,129,1,46,441,97,34,7.5,298,Neversoft Entertainment
